Order	Label	X	Y
639	isa1.4.jpg	597	2907
640	isa1.4.jpg	684	2916
641	isa1.4.jpg	777	2943
642	isa1.4.jpg	852	2979
643	isa1.4.jpg	921	3009
644	isa1.4.jpg	1023	3060
645	isa1.4.jpg	1071	3114
646	isa1.4.jpg	1137	3186
647	isa1.4.jpg	1188	3270
648	isa1.5.jpg	274	3622
649	isa1.5.jpg	288	3568
650	isa1.5.jpg	334	3492
651	isa1.5.jpg	380	3368
652	isa1.5.jpg	378	3262
653	isa1.5.jpg	354	3152
654	isa1.5.jpg	316	3046
655	isa1.5.jpg	280	2966
656	isa1.5.jpg	256	2930
657	isa1.5.jpg	234	2888
658	isa1.5.jpg	172	2916
659	isa1.5.jpg	140	2992
660	isa1.5.jpg	120	3106
661	isa1.5.jpg	110	3228
662	isa1.5.jpg	120	3338
663	isa1.5.jpg	156	3466
664	isa1.5.jpg	224	3566
665	isa1.5.jpg	1234	3068
666	isa1.5.jpg	1108	3053
667	isa1.5.jpg	1009	3059
668	isa1.5.jpg	865	3014
669	isa1.5.jpg	790	2948
670	isa1.5.jpg	727	2891
671	isa1.5.jpg	688	2837
672	isa1.5.jpg	634	2804
673	isa1.5.jpg	598	2657
674	isa1.5.jpg	694	2648
675	isa1.5.jpg	808	2666
676	isa1.5.jpg	931	2720
677	isa1.5.jpg	1018	2768
678	isa1.5.jpg	1099	2828
679	isa1.5.jpg	1141	2885
680	isa1.5.jpg	1177	2951
681	isa1.5.jpg	1210	3011
682	isa1.6.jpg	474	1851
683	isa1.6.jpg	546	1851
684	isa1.6.jpg	648	1860
685	isa1.6.jpg	744	1860
686	isa1.6.jpg	870	1899
687	isa1.6.jpg	936	1929
688	isa1.6.jpg	1002	1983
689	isa1.6.jpg	1044	2040
690	isa1.6.jpg	1071	2112
691	isa1.6.jpg	1056	2163
692	isa1.6.jpg	1017	2208
693	isa1.6.jpg	942	2214
694	isa1.6.jpg	840	2178
695	isa1.6.jpg	777	2136
696	isa1.6.jpg	723	2094
697	isa1.6.jpg	621	2028
698	isa1.6.jpg	570	1953
699	isa1.6.jpg	2271	1404
700	isa1.6.jpg	2160	1390
701	isa1.6.jpg	2049	1363
702	isa1.6.jpg	1938	1351
703	isa1.6.jpg	1812	1351
704	isa1.6.jpg	1695	1369
705	isa1.6.jpg	1587	1399
706	isa1.6.jpg	1530	1429
707	isa1.6.jpg	1479	1504
708	isa1.6.jpg	1560	1567
709	isa1.6.jpg	1680	1606
710	isa1.6.jpg	1794	1615
711	isa1.6.jpg	1911	1606
712	isa1.6.jpg	2004	1585
713	isa1.6.jpg	2064	1555
714	isa1.6.jpg	2118	1519
715	isa1.6.jpg	2166	1489
716	isa1.6.jpg	2217	1441
717	isa1.7.jpg	2032	2849
718	isa1.7.jpg	1880	2829
719	isa1.7.jpg	1656	2757
720	isa1.7.jpg	1484	2741
721	isa1.7.jpg	1332	2765
722	isa1.7.jpg	1180	2825
723	isa1.7.jpg	1068	2917
724	isa1.7.jpg	948	3049
725	isa1.7.jpg	816	3205
726	isa1.7.jpg	660	3325
727	isa1.7.jpg	820	3365
728	isa1.7.jpg	1166	3451
729	isa1.7.jpg	1448	3403
730	isa1.7.jpg	1642	3291
731	isa1.7.jpg	1770.333	3162
732	isa1.7.jpg	1838.333	3087.333
733	isa1.7.jpg	1945	2902
734	isa1.7.jpg	416	1801
735	isa1.7.jpg	332	1975
736	isa1.7.jpg	230	2119
737	isa1.7.jpg	204	2265
738	isa1.7.jpg	176	2485
739	isa1.7.jpg	224	2681
740	isa1.7.jpg	320	2881
741	isa1.7.jpg	412	3033
742	isa1.7.jpg	496	3209
743	isa1.7.jpg	568	2949
744	isa1.7.jpg	672	2761
745	isa1.7.jpg	704	2613
746	isa1.7.jpg	732	2485
747	isa1.7.jpg	720	2349
748	isa1.7.jpg	680	2209
749	isa1.7.jpg	616	2097
750	isa1.7.jpg	532	1973
751	isa1.8.jpg	2330	2794
752	isa1.8.jpg	2304	2728
753	isa1.8.jpg	2272	2642
754	isa1.8.jpg	2234	2580
755	isa1.8.jpg	2200	2522
756	isa1.8.jpg	2152	2446
757	isa1.8.jpg	2084	2370
758	isa1.8.jpg	2032	2322
759	isa1.8.jpg	1982	2290
760	isa1.8.jpg	1908	2268
761	isa1.8.jpg	1886	2286
762	isa1.8.jpg	1882	2346
763	isa1.8.jpg	1934	2440
764	isa1.8.jpg	1964	2494
765	isa1.8.jpg	1976	2526
766	isa1.8.jpg	2038	2566
767	isa1.8.jpg	2232	2698
768	isa1.8.jpg	1818	2831
769	isa1.8.jpg	1814	2771
770	isa1.8.jpg	1796	2699
771	isa1.8.jpg	1770	2607
772	isa1.8.jpg	1738	2537
773	isa1.8.jpg	1692	2495
774	isa1.8.jpg	1642	2445
775	isa1.8.jpg	1592	2401
776	isa1.8.jpg	1518	2375
777	isa1.8.jpg	1440	2375
778	isa1.8.jpg	1444	2461
779	isa1.8.jpg	1476	2541
780	isa1.8.jpg	1510	2601
781	isa1.8.jpg	1564	2665
782	isa1.8.jpg	1610	2705
783	isa1.8.jpg	1688	2761
784	isa1.8.jpg	1758	2797
785	isa1.9.jpg	1558	1955
786	isa1.9.jpg	1495	1925
787	isa1.9.jpg	1438	1880
788	isa1.9.jpg	1369	1835
789	isa1.9.jpg	1282	1802
790	isa1.9.jpg	1186	1778
791	isa1.9.jpg	1087	1772
792	isa1.9.jpg	1012	1790
793	isa1.9.jpg	940	1820
794	isa1.9.jpg	955	1886
795	isa1.9.jpg	1021	1940
796	isa1.9.jpg	1105	1976
797	isa1.9.jpg	1192	1994
798	isa1.9.jpg	1273	2012
799	isa1.9.jpg	1360	2015
800	isa1.9.jpg	1441	1991
801	isa1.9.jpg	1492	1979
802	isa1.9.jpg	286	1474
803	isa1.9.jpg	330	1526
804	isa1.9.jpg	386	1592
805	isa1.9.jpg	450	1660
806	isa1.9.jpg	512	1714
807	isa1.9.jpg	580	1752
808	isa1.9.jpg	656	1790
809	isa1.9.jpg	734	1812
810	isa1.9.jpg	798	1804
811	isa1.9.jpg	848	1774
812	isa1.9.jpg	832	1702
813	isa1.9.jpg	788	1632
814	isa1.9.jpg	718	1574
815	isa1.9.jpg	646	1538
816	isa1.9.jpg	576	1516
817	isa1.9.jpg	476	1494
818	isa1.9.jpg	392	1482
819	isa1.jpg	2453	2342
820	isa1.jpg	2403	2284
821	isa1.jpg	2365	2172
822	isa1.jpg	2305	2080
823	isa1.jpg	2233	2020
